# Icepak 数据集样本清单 (100 组, 由 功率清单100组.md 生成)
# 每行：报告文件路径  6个die功率(Compute_1, Compute_2, HBM_1, HBM_2, HBM_3, HBM_4)
# 测试集(固定): report.16 19 22 25 26 27 59 80 86 93
C:/Users/25164/Desktop/3d5_chip/数据集/report.01  0.2 0.2 0.08 0.08 0.08 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.02  0.28 0.28 0.12 0.12 0.12 0.12
C:/Users/25164/Desktop/3d5_chip/数据集/report.03  0.24 0.32 0.1 0.14 0.1 0.14
C:/Users/25164/Desktop/3d5_chip/数据集/report.04  0.32 0.24 0.14 0.1 0.14 0.1
C:/Users/25164/Desktop/3d5_chip/数据集/report.05  0.35 0.35 0.15 0.15 0.15 0.15
C:/Users/25164/Desktop/3d5_chip/数据集/report.06  0.18 0.3 0.06 0.12 0.18 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.07  0.3 0.18 0.12 0.06 0.08 0.18
C:/Users/25164/Desktop/3d5_chip/数据集/report.08  0.4 0.25 0.08 0.16 0.12 0.06
C:/Users/25164/Desktop/3d5_chip/数据集/report.09  0.22 0.38 0.16 0.08 0.06 0.14
C:/Users/25164/Desktop/3d5_chip/数据集/report.10  0.38 0.2 0.06 0.14 0.18 0.1
C:/Users/25164/Desktop/3d5_chip/数据集/report.11  0.18 0.14 0.09 0.05 0.08 0.07
C:/Users/25164/Desktop/3d5_chip/数据集/report.12  0.11 0.23 0.04 0.07 0.05 0.05
C:/Users/25164/Desktop/3d5_chip/数据集/report.13  0.21 0.31 0.05 0.06 0.09 0.12
C:/Users/25164/Desktop/3d5_chip/数据集/report.14  0.24 0.2 0.12 0.04 0.11 0.06
C:/Users/25164/Desktop/3d5_chip/数据集/report.15  0.14 0.13 0.06 0.11 0.05 0.09
C:/Users/25164/Desktop/3d5_chip/数据集/report.16  0.26 0.19 0.08 0.05 0.04 0.06
C:/Users/25164/Desktop/3d5_chip/数据集/report.17  0.27 0.21 0.07 0.09 0.08 0.06
C:/Users/25164/Desktop/3d5_chip/数据集/report.18  0.3 0.27 0.06 0.09 0.08 0.11
C:/Users/25164/Desktop/3d5_chip/数据集/report.19  0.28 0.17 0.12 0.05 0.07 0.1
C:/Users/25164/Desktop/3d5_chip/数据集/report.20  0.14 0.22 0.04 0.09 0.1 0.09
C:/Users/25164/Desktop/3d5_chip/数据集/report.21  0.32 0.18 0.1 0.09 0.09 0.08
C:/Users/25164/Desktop/3d5_chip/数据集/report.22  0.31 0.34 0.08 0.09 0.04 0.1
C:/Users/25164/Desktop/3d5_chip/数据集/report.23  0.26 0.35 0.11 0.06 0.07 0.09
